,Inf,Name,Position,Nat,Age,Club,Transfer Value,Wage,Min AP,Min Fee Rls,Min Fee Rls to Foreign Clubs,Personality,Media Handling,Left Foot,Right Foot,1v1,Acc,Aer,Agg,Agi,Ant,Bal,Bra,Cmd,Cnt,Cmp,Cro,Dec,Det,Dri,Fin,Fir,Fla,Han,Hea,Jum,Kic,Ldr,Lon,Mar,OtB,Pac,Pas,Pos,Ref,Sta,Str,Tck,Tea,Tec,Thr,TRO,Vis,Wor,Cor,Height,Injury Risk,Expires,,Min Value,Max Value,Avg Value,height_feet,height_inch,height_cm,Months Remaining
2489, Inj , Quaresma                      , D/M (L)                          , BRA ,26.0, Arouca                    , £130K - £1.3M   ,1600.0, -       , £4.3M       , -                            , Balanced            ," Outspoken, Media-friendly   ", Very Strong   , Reasonable    ,2.0,15.0,2.0,12.0,14.0,13.0,12.0,10.0,2.0,12.0,11.0,12.0,10.0,13.0,14.0,10.0,11.0,11.0,3.0,8.0,12.0,3.0,5.0,6.0,11.0,12.0,15.0,12.0,9.0,3.0,14.0,14.0,13.0,13.0,12.0,3.0,1.0,12.0,13.0,5.0," 5'11""  ", Very High   ,2025-06-30, ,130000.0,1300000.0,715000.0,5,11,180.34,22.0
2491,     , Philipp Wiesinger             , D (RLC)                          , AUT ,29.0, LASK                      , £100K - £1M     ,4800.0, -       , -           , -                            , Balanced            , Media-friendly              , Fairly Strong , Very Strong   ,1.0,13.0,1.0,11.0,12.0,12.0,13.0,12.0,1.0,12.0,11.0,8.0,10.0,13.0,9.0,6.0,12.0,6.0,3.0,13.0,12.0,1.0,12.0,8.0,13.0,6.0,12.0,11.0,14.0,1.0,14.0,13.0,13.0,13.0,9.0,1.0,3.0,11.0,15.0,9.0," 5'11""  ", Increased   ,2024-06-30, ,100000.0,1000000.0,550000.0,5,11,180.34,10.0
2493, Wnt , James Connolly                , D (RC)                           , WAL ,21.0, Bristol Rovers            , £350K - £1M     ,1500.0, -       , -           , -                            , Balanced            , Level-headed                , Fairly Strong , Very Strong   ,2.0,12.0,1.0,11.0,8.0,11.0,9.0,12.0,3.0,11.0,11.0,7.0,10.0,13.0,7.0,7.0,9.0,6.0,2.0,11.0,12.0,2.0,15.0,6.0,12.0,10.0,12.0,10.0,12.0,3.0,12.0,11.0,12.0,11.0,10.0,1.0,2.0,8.0,12.0,6.0," 5'11""  ", Increased   ,2025-06-30, ,350000.0,1000000.0,675000.0,5,11,180.34,22.0
2495, Wnt , Ryan Rydel                    , D/WB/M (L)                       , ENG ,22.0, Stockport                 , £200K - £600K   ,1300.0, -       , -           , -                            , Balanced            , Media-friendly              , Very Strong   , Reasonable    ,3.0,12.0,1.0,8.0,12.0,10.0,12.0,9.0,3.0,9.0,10.0,13.0,9.0,11.0,12.0,7.0,11.0,13.0,1.0,8.0,9.0,3.0,4.0,8.0,9.0,12.0,12.0,11.0,9.0,2.0,12.0,10.0,10.0,12.0,13.0,2.0,2.0,10.0,12.0,12.0," 5'11""  ", High        ,2024-06-30, ,200000.0,600000.0,400000.0,5,11,180.34,10.0
2497,     , Carlo Adriano                 , M/AM (C)                         , ESP ,22.0, Villarreal B              , £250K - £6.4M   ,2400.0, -       , £6M         , -                            , Fairly Determined   , Media-friendly              , Reasonable    , Very Strong   ,2.0,12.0,2.0,8.0,14.0,11.0,11.0,10.0,2.0,7.0,9.0,10.0,15.0,15.0,15.0,12.0,15.0,14.0,2.0,11.0,9.0,2.0,12.0,12.0,11.0,13.0,14.0,12.0,12.0,3.0,7.0,7.0,9.0,8.0,15.0,1.0,4.0,11.0,12.0,10.0," 5'11""  ", Increased   ,2026-06-30, ,250000.0,6400000.0,3325000.0,5,11,180.34,34.0
2499,     , Peter Kiedl                   , ST (C)                           , AUT ,19.0, SK Sturm Graz II          , £120K - £1.2M   ,525.0, -       , -           , -                            , Balanced            , Media-friendly              , Reasonable    , Very Strong   ,3.0,12.0,1.0,6.0,14.0,11.0,11.0,13.0,2.0,11.0,10.0,6.0,9.0,9.0,9.0,9.0,10.0,6.0,1.0,7.0,11.0,1.0,6.0,7.0,6.0,14.0,12.0,9.0,5.0,3.0,11.0,10.0,7.0,12.0,9.0,1.0,3.0,10.0,13.0,7.0," 5'11""  ", Low         ,2024-06-30, ,120000.0,1200000.0,660000.0,5,11,180.34,10.0
2501, Wnt , Gabriel Gudmundsson           , D/WB/M/AM (L)                    , SWE ,24.0, LOSC                      , £150K - £1.5M   ,5500.0, -       , -           , -                            , Fairly Loyal        , Level-headed                , Very Strong   , Weak          ,3.0,15.0,2.0,9.0,13.0,10.0,10.0,10.0,2.0,10.0,10.0,12.0,10.0,12.0,14.0,10.0,11.0,13.0,2.0,9.0,10.0,1.0,8.0,12.0,8.0,12.0,15.0,12.0,10.0,3.0,13.0,9.0,6.0,13.0,12.0,2.0,3.0,8.0,13.0,9.0," 5'11""  ", Low         ,2026-06-30, ,150000.0,1500000.0,825000.0,5,11,180.34,34.0
2503,     , Iván Morante                  ," DM, M (C)                        ", ESP ,22.0, R. Santander              , £2.1M - £4.3M   ,3000.0, -       , £5.25M      , -                            , Fairly Determined   , Level-headed                , Very Strong   , Reasonable    ,2.0,11.0,3.0,10.0,12.0,12.0,11.0,9.0,1.0,10.0,14.0,7.0,13.0,15.0,9.0,8.0,13.0,13.0,3.0,13.0,13.0,3.0,14.0,11.0,14.0,11.0,12.0,14.0,11.0,3.0,13.0,14.0,11.0,10.0,13.0,2.0,3.0,14.0,10.0,10.0," 5'11""  ", Normal      ,2024-06-30, ,2100000.0,4300000.0,3200000.0,5,11,180.34,10.0
2505,     , Jano ter Horst                , D (C)                            , GER ,21.0, Münster                   , £200K - £600K   ,400.0, -       , -           , -                            , Balanced            , Media-friendly              , Reasonable    , Very Strong   ,3.0,13.0,3.0,10.0,9.0,12.0,4.0,10.0,2.0,11.0,9.0,1.0,14.0,2.0,2.0,8.0,9.0,5.0,2.0,14.0,11.0,2.0,8.0,8.0,14.0,8.0,12.0,10.0,14.0,2.0,6.0,10.0,12.0,5.0,4.0,2.0,1.0,4.0,9.0,3.0," 5'11""  ", Low         ,2024-06-30, ,200000.0,600000.0,400000.0,5,11,180.34,10.0
2507,     , Jean-Baptiste Gorby           ," DM, M (C)                        ", FRA ,21.0, P. Ferreira               , £130K - £1.3M   ,1800.0, -       , -           , -                            , Balanced            , Level-headed                , Weak          , Very Strong   ,3.0,12.0,1.0,15.0,13.0,13.0,12.0,16.0,2.0,7.0,5.0,6.0,11.0,12.0,10.0,10.0,11.0,6.0,3.0,9.0,11.0,3.0,11.0,11.0,8.0,10.0,13.0,11.0,11.0,1.0,13.0,11.0,12.0,13.0,11.0,2.0,1.0,10.0,13.0,9.0," 5'11""  ", Normal      ,2027-06-30, ,130000.0,1300000.0,715000.0,5,11,180.34,46.0
2509,     , Iker Undabarrena              ," DM, M (C)                        ", ESP ,28.0, Leganés                   , £110K - £1.1M   ,3000.0, -       , £2.1M       , -                            , Fairly Sporting     , Media-friendly              , Fairly Strong , Very Strong   ,2.0,12.0,3.0,10.0,11.0,13.0,13.0,11.0,1.0,14.0,13.0,10.0,12.0,11.0,10.0,6.0,12.0,8.0,1.0,8.0,11.0,3.0,11.0,8.0,10.0,10.0,11.0,14.0,12.0,2.0,13.0,12.0,13.0,13.0,13.0,2.0,1.0,12.0,14.0,10.0," 5'11""  ", Low         ,2024-06-30, ,110000.0,1100000.0,605000.0,5,11,180.34,10.0
2511,     , Victor Bak                    , D/WB (L)                         , DEN ,19.0, FC Midtjylland            , £160K - £1.6M   ,1900.0, -       , -           , -                            , Balanced            , Media-friendly              , Very Strong   , Fairly Strong ,2.0,12.0,3.0,13.0,12.0,11.0,11.0,11.0,2.0,11.0,10.0,11.0,10.0,11.0,12.0,8.0,9.0,10.0,1.0,9.0,9.0,2.0,5.0,7.0,11.0,11.0,13.0,10.0,13.0,2.0,13.0,11.0,11.0,12.0,10.0,1.0,2.0,10.0,12.0,7.0," 5'11""  ", Low         ,2027-12-31, ,160000.0,1600000.0,880000.0,5,11,180.34,52.0
2513,     , Myziane Maolida               ," M (L), AM (RL), ST (C)           ", COM ,24.0, Hibernian                 , £160K - £1.6M   ,16500.0, -       , -           , -                            , Balanced            , Media-friendly              , Reasonable    , Very Strong   ,3.0,15.0,3.0,8.0,14.0,11.0,10.0,8.0,1.0,8.0,10.0,10.0,8.0,11.0,15.0,11.0,13.0,15.0,3.0,8.0,10.0,2.0,3.0,11.0,5.0,12.0,15.0,11.0,6.0,1.0,11.0,10.0,6.0,9.0,14.0,3.0,2.0,11.0,9.0,7.0," 5'11""  ", Low         ,2025-06-30, ,160000.0,1600000.0,880000.0,5,11,180.34,22.0
2515,     , Matty James                   ," DM, M (C)                        ", ENG ,32.0, Bristol City              , £850K - £1.8M   ,12000.0, -       , -           , -                            , Resolute            , Reserved                    , Reasonable    , Very Strong   ,1.0,10.0,1.0,10.0,10.0,15.0,14.0,12.0,3.0,15.0,13.0,13.0,12.0,16.0,8.0,10.0,13.0,7.0,3.0,13.0,10.0,2.0,13.0,10.0,11.0,14.0,10.0,15.0,16.0,2.0,11.0,12.0,12.0,16.0,12.0,3.0,3.0,12.0,14.0,13.0," 5'11""  ", Very High   ,2024-06-30, ,850000.0,1800000.0,1325000.0,5,11,180.34,10.0
2517,     , Michaël Cuisance              , M/AM (C)                         , FRA ,23.0, Osnabrück                 , £220K - £2.2M   ,20500.0, -       , -           , -                            , Balanced            , Outspoken                   , Very Strong   , Reasonable    ,2.0,12.0,1.0,12.0,14.0,11.0,12.0,12.0,1.0,9.0,13.0,11.0,10.0,10.0,15.0,8.0,16.0,16.0,1.0,7.0,8.0,1.0,3.0,11.0,8.0,11.0,12.0,15.0,8.0,2.0,14.0,9.0,11.0,11.0,16.0,3.0,1.0,14.0,10.0,14.0," 5'11""  ", Low         ,2025-06-30, ,220000.0,2200000.0,1210000.0,5,11,180.34,22.0
2519, Inj , Vukašin Marković              ," DM, M (L)                        ", SRB ,22.0, Borac                     , £300K - £850K   ,110.0, -       , -           , -                            , Balanced            , Media-friendly              , Weak          , Very Strong   ,1.0,11.0,1.0,12.0,12.0,14.0,5.0,6.0,1.0,9.0,6.0,10.0,12.0,9.0,10.0,4.0,10.0,5.0,2.0,9.0,11.0,1.0,11.0,10.0,10.0,10.0,11.0,11.0,12.0,3.0,12.0,12.0,10.0,13.0,13.0,1.0,1.0,11.0,13.0,8.0," 5'11""  ", Increased   ,2025-06-30, ,300000.0,850000.0,575000.0,5,11,180.34,22.0
2521,     , Rico Benatelli                ," DM, M/AM (C)                     ", GER ,31.0, SK Austria Klagenfurt     , £130K - £1.3M   ,6500.0, -       , -           , -                            , Fairly Professional , Reserved                    , Reasonable    , Very Strong   ,1.0,10.0,2.0,10.0,13.0,13.0,11.0,12.0,3.0,14.0,14.0,12.0,13.0,13.0,11.0,10.0,13.0,10.0,3.0,8.0,9.0,2.0,11.0,13.0,10.0,12.0,10.0,14.0,11.0,2.0,14.0,10.0,10.0,16.0,14.0,1.0,1.0,13.0,10.0,12.0," 5'11""  ", Low         ,2024-06-30, ,130000.0,1300000.0,715000.0,5,11,180.34,10.0
2523,     , Gustavo Sauer                 ," M (LC), AM (RL)                  ", BRA ,30.0, Rizespor                  , £130K - £1.3M   ,7750.0, -       , -           , -                            , Balanced            , Media-friendly              , Very Strong   , Reasonable    ,1.0,12.0,4.0,12.0,11.0,10.0,13.0,12.0,1.0,10.0,11.0,13.0,11.0,12.0,12.0,12.0,13.0,13.0,1.0,8.0,10.0,3.0,12.0,14.0,8.0,11.0,12.0,12.0,8.0,3.0,12.0,12.0,8.0,11.0,14.0,3.0,1.0,13.0,13.0,13.0," 5'11""  ", Low         ,2025-12-31, ,130000.0,1300000.0,715000.0,5,11,180.34,28.0
2525,     , Simen Bolkan Nordli           , M/AM (RLC)                       , NOR ,23.0, Randers FC                , £700K - £1.5M   ,4000.0, -       , -           , -                            , Balanced            , Media-friendly              , Weak          , Very Strong   ,1.0,12.0,1.0,5.0,13.0,12.0,7.0,11.0,4.0,12.0,12.0,12.0,11.0,12.0,13.0,11.0,12.0,13.0,1.0,10.0,10.0,3.0,9.0,11.0,9.0,12.0,12.0,11.0,9.0,3.0,13.0,9.0,10.0,13.0,11.0,3.0,3.0,11.0,13.0,12.0," 5'11""  ", Normal      ,2026-06-30, ,700000.0,1500000.0,1100000.0,5,11,180.34,34.0
2527,     , George Tanner                 , D (R)                            , ENG ,23.0, Bristol City              , £140K - £1.4M   ,5000.0, -       , -           , -                            , Resolute            , Reserved                    , Reasonable    , Very Strong   ,2.0,13.0,3.0,17.0,12.0,11.0,8.0,12.0,1.0,9.0,11.0,11.0,13.0,15.0,11.0,6.0,12.0,11.0,1.0,6.0,8.0,3.0,6.0,4.0,11.0,10.0,13.0,11.0,14.0,2.0,14.0,10.0,15.0,13.0,11.0,2.0,2.0,11.0,15.0,5.0," 5'11""  ", Low         ,2026-06-30, ,140000.0,1400000.0,770000.0,5,11,180.34,34.0
2529,     , Tanguy Ndombele               ," DM, M (C)                        ", FRA ,26.0, Galatasaray               , £8.8M - £11M    ,120000.0, -       , -           , -                            , Balanced            , Media-friendly              , Reasonable    , Very Strong   ,1.0,11.0,1.0,10.0,11.0,13.0,15.0,12.0,1.0,10.0,15.0,10.0,13.0,12.0,16.0,10.0,14.0,16.0,1.0,10.0,10.0,3.0,9.0,13.0,9.0,12.0,14.0,16.0,10.0,1.0,12.0,15.0,12.0,13.0,16.0,3.0,2.0,15.0,11.0,6.0," 5'11""  ", Low         ,2025-06-30, ,8800000.0,11000000.0,9900000.0,5,11,180.34,22.0
2531,     , Kristijan Jakić               ," D (C), DM, M (C)                 ", CRO ,26.0, Augsburg                  , £950K - £4.8M   ,29500.0, -       , -           , -                            , Fairly Determined   , Media-friendly              , Reasonable    , Very Strong   ,2.0,12.0,3.0,16.0,11.0,13.0,13.0,17.0,4.0,14.0,11.0,10.0,12.0,17.0,10.0,8.0,11.0,8.0,3.0,13.0,12.0,4.0,12.0,11.0,13.0,11.0,12.0,12.0,14.0,2.0,16.0,14.0,15.0,17.0,11.0,2.0,2.0,11.0,17.0,8.0," 5'11""  ", Low         ,2026-06-30, ,950000.0,4800000.0,2875000.0,5,11,180.34,34.0
2533,     , Christoph Messerer            , DM                               , AUT ,21.0, SKN St. Pölten            , £120K - £1.2M   ,725.0, -       , -           , -                            , Balanced            , Media-friendly              , Reasonable    , Very Strong   ,1.0,13.0,2.0,6.0,12.0,13.0,12.0,12.0,2.0,11.0,11.0,7.0,11.0,10.0,10.0,6.0,11.0,4.0,2.0,11.0,11.0,2.0,7.0,9.0,10.0,4.0,12.0,11.0,15.0,2.0,12.0,11.0,9.0,12.0,12.0,3.0,2.0,10.0,13.0,6.0," 5'11""  ", Low         ,2025-06-30, ,120000.0,1200000.0,660000.0,5,11,180.34,22.0
2535, Inj , Rhys Norrington-Davies        ," D (LC), WB (L)                   ", WAL ,24.0, Sheff Utd                 , £1.1M - £7.2M   ,18000.0, £1.1M   , -           , -                            , Balanced            , Level-headed                , Very Strong   , Reasonable    ,1.0,14.0,3.0,16.0,13.0,12.0,13.0,14.0,1.0,11.0,12.0,13.0,12.0,13.0,13.0,7.0,11.0,9.0,1.0,11.0,9.0,3.0,8.0,5.0,11.0,12.0,13.0,12.0,12.0,3.0,15.0,13.0,13.0,14.0,12.0,1.0,3.0,10.0,15.0,10.0," 5'11""  ", High        ,2024-06-30, ,1100000.0,7200000.0,4150000.0,5,11,180.34,10.0
2537,     , Filip Ristanic                ," AM (C), ST (C)                   ", AUT ,19.0, FC Admira Wacker Mödling  , £180K - £1.8M   ,1100.0, -       , -           , -                            , Balanced            , Level-headed                , Reasonable    , Very Strong   ,2.0,13.0,1.0,6.0,12.0,10.0,11.0,11.0,1.0,10.0,10.0,7.0,9.0,14.0,11.0,8.0,11.0,4.0,2.0,9.0,10.0,2.0,4.0,8.0,6.0,15.0,13.0,10.0,5.0,2.0,13.0,11.0,5.0,12.0,12.0,3.0,3.0,9.0,11.0,5.0," 5'11""  ", Low         ,2024-06-30, ,180000.0,1800000.0,990000.0,5,11,180.34,10.0
2539,     , Moisés González               , D (RC)                           , CHI ,22.0, O'Higgins                 , £130K - £1.3M   ,525.0, -       , -           , -                            , Balanced            , Media-friendly              , Weak          , Very Strong   ,3.0,11.0,3.0,15.0,10.0,12.0,12.0,14.0,3.0,10.0,9.0,10.0,10.0,10.0,8.0,4.0,9.0,7.0,3.0,12.0,13.0,2.0,8.0,6.0,13.0,8.0,11.0,9.0,13.0,3.0,14.0,11.0,12.0,13.0,9.0,1.0,1.0,9.0,13.0,5.0," 5'11""  ", Low         ,2025-12-31, ,130000.0,1300000.0,715000.0,5,11,180.34,28.0
2541,     , Benjamin Atiabou              , D (RC)                           , AUT ,19.0, FC Liefering              , £150K - £1.5M   ,650.0, -       , -           , -                            , Fairly Professional ," Media-friendly, Reserved    ", Reasonable    , Very Strong   ,1.0,14.0,2.0,8.0,12.0,11.0,10.0,13.0,1.0,9.0,10.0,8.0,9.0,7.0,9.0,7.0,11.0,5.0,2.0,8.0,10.0,1.0,9.0,6.0,10.0,9.0,13.0,9.0,13.0,2.0,12.0,10.0,11.0,13.0,9.0,2.0,1.0,9.0,14.0,6.0," 5'11""  ", Low         ,2024-06-30, ,150000.0,1500000.0,825000.0,5,11,180.34,10.0
2543, Wnt , Pedro Bigas                   ," D (LC), DM                       ", ESP ,33.0, Elche                     , £425K - £4.1M   ,13500.0, -       , £9M         , -                            , Fairly Professional ," Media-friendly, Reserved    ", Very Strong   , Weak          ,1.0,12.0,1.0,12.0,12.0,13.0,12.0,14.0,3.0,14.0,13.0,7.0,13.0,14.0,9.0,9.0,10.0,10.0,2.0,14.0,12.0,1.0,14.0,8.0,14.0,11.0,13.0,10.0,14.0,3.0,14.0,14.0,14.0,14.0,11.0,3.0,2.0,10.0,15.0,6.0," 5'11""  ", Low         ,2025-06-30, ,425000.0,4099999.9999999995,2262500.0,5,11,180.34,22.0
2545,     , Tomás Ahumada                 , GK                               , CHI ,21.0, Audax                     , £210K - £2.1M   ,825.0, -       , -           , -                            , Fairly Determined   , Media-friendly              , Weak          , Very Strong   ,9.0,15.0,10.0,13.0,8.0,10.0,10.0,16.0,7.0,11.0,10.0,2.0,15.0,16.0,1.0,1.0,6.0,3.0,12.0,2.0,8.0,15.0,3.0,3.0,3.0,1.0,12.0,10.0,10.0,15.0,4.0,8.0,1.0,10.0,7.0,12.0,10.0,9.0,9.0,3.0," 5'11""  ", Low         ,2024-12-31, ,210000.0,2100000.0,1155000.0,5,11,180.34,16.0
2547,     , Pascu                         ," DM, M (C)                        ", ESP ,23.0, Almere City               , £375K - £1.1M   ,750.0, -       , -           , -                            , Balanced            , Level-headed                , Weak          , Very Strong   ,4.0,11.0,3.0,11.0,11.0,13.0,13.0,12.0,1.0,13.0,12.0,10.0,12.0,2.0,11.0,5.0,12.0,5.0,3.0,7.0,8.0,1.0,7.0,12.0,7.0,13.0,11.0,12.0,14.0,4.0,13.0,11.0,6.0,13.0,11.0,3.0,3.0,12.0,12.0,13.0," 5'11""  ", Low         ,2024-06-30, ,375000.0,1100000.0,737500.0,5,11,180.34,10.0
2549,     , Bobby Wood                    , ST (C)                           , USA ,30.0, New England               , £750K - £1.6M   ,6500.0, -       , -           , -                            , Balanced            , Media-friendly              , Reasonable    , Very Strong   ,3.0,14.0,1.0,15.0,13.0,10.0,16.0,8.0,2.0,9.0,10.0,9.0,13.0,6.0,13.0,14.0,14.0,12.0,2.0,11.0,11.0,1.0,4.0,13.0,6.0,11.0,16.0,10.0,7.0,2.0,12.0,12.0,8.0,14.0,12.0,1.0,1.0,10.0,8.0,7.0," 5'11""  ", Very High   ,2024-12-31, ,750000.0,1600000.0,1175000.0,5,11,180.34,16.0
2551, Inj , Dennis Praet                  ," M (C), AM (RC)                   ", BEL ,29.0, Leicester                 , £3.5M - £5.2M   ,45000.0, -       , -           , -                            , Balanced            , Level-headed                , Fairly Strong , Very Strong   ,3.0,12.0,2.0,12.0,10.0,12.0,10.0,13.0,2.0,15.0,13.0,13.0,14.0,13.0,13.0,11.0,14.0,15.0,2.0,8.0,9.0,3.0,9.0,12.0,8.0,13.0,11.0,15.0,11.0,2.0,13.0,12.0,12.0,14.0,14.0,2.0,3.0,13.0,12.0,12.0," 5'11""  ", High        ,2024-06-30, ,3500000.0,5200000.0,4350000.0,5,11,180.34,10.0
2553, Una , Luca Connell                  ," DM, M (C)                        ", IRL ,22.0, Barnsley                  , £120K - £1.2M   ,5000.0, -       , -           , -                            , Balanced            , Level-headed                , Very Strong   , Weak          ,1.0,11.0,2.0,13.0,10.0,11.0,11.0,13.0,2.0,12.0,13.0,12.0,13.0,13.0,11.0,9.0,13.0,11.0,1.0,9.0,10.0,2.0,12.0,11.0,9.0,12.0,11.0,14.0,11.0,1.0,14.0,11.0,9.0,13.0,14.0,3.0,1.0,14.0,13.0,13.0," 5'11""  ", N/A         ,2027-06-30, ,120000.0,1200000.0,660000.0,5,11,180.34,46.0
2555,     , Tomás Alarcón                 ," DM, M (C)                        ", CHI ,24.0, Cartagena                 , £1.7M - £3.4M   ,7250.0, -       , £5.75M      , -                            , Fairly Sporting     , Level-headed                , Reasonable    , Very Strong   ,3.0,11.0,1.0,14.0,11.0,14.0,13.0,14.0,1.0,12.0,12.0,10.0,13.0,12.0,8.0,6.0,13.0,8.0,2.0,11.0,12.0,3.0,12.0,10.0,13.0,9.0,11.0,14.0,15.0,1.0,15.0,13.0,14.0,16.0,9.0,3.0,3.0,12.0,14.0,11.0," 5'11""  ", Normal      ,2026-06-30, ,1700000.0,3400000.0,2550000.0,5,11,180.34,34.0
2557,     , Will Vaulks                   ," DM, M (C)                        ", WAL ,29.0, Sheffield Wednesday       , £240K - £2.4M   ,12000.0, -       , -           , -                            , Fairly Loyal        , Level-headed                , Weak          , Very Strong   ,1.0,10.0,1.0,13.0,13.0,12.0,12.0,14.0,3.0,12.0,12.0,9.0,12.0,14.0,10.0,10.0,12.0,6.0,2.0,11.0,10.0,4.0,13.0,14.0,12.0,13.0,11.0,13.0,11.0,3.0,14.0,12.0,13.0,15.0,12.0,2.0,1.0,11.0,15.0,9.0," 5'11""  ", Increased   ,2024-06-30, ,240000.0,2400000.0,1320000.0,5,11,180.34,10.0
2559,     , Oliver Skipp                  ," DM, M (C)                        ", ENG ,22.0, Tottenham                 , £59M - £87M     ,50000.0, -       , -           , -                            , Fairly Professional , Reserved                    , Reasonable    , Very Strong   ,3.0,13.0,2.0,15.0,12.0,15.0,13.0,17.0,1.0,11.0,15.0,6.0,13.0,14.0,10.0,7.0,13.0,7.0,3.0,12.0,9.0,2.0,11.0,9.0,13.0,13.0,14.0,14.0,13.0,1.0,16.0,14.0,16.0,15.0,12.0,2.0,2.0,12.0,17.0,8.0," 5'11""  ", Increased   ,2027-06-30, ,59000000.0,87000000.0,73000000.0,5,11,180.34,46.0
2561,     , Paris Maghoma                 , M (C)                            , COD ,22.0, Bolton                    , £200K - £2M     ,8000.0, -       , -           , -                            , Fairly Determined   , Level-headed                , Reasonable    , Very Strong   ,2.0,11.0,2.0,11.0,12.0,12.0,10.0,11.0,2.0,11.0,13.0,9.0,12.0,15.0,12.0,9.0,13.0,12.0,1.0,9.0,9.0,3.0,9.0,9.0,9.0,12.0,11.0,13.0,13.0,4.0,11.0,11.0,10.0,12.0,14.0,3.0,3.0,13.0,13.0,8.0," 5'11""  ", Normal      ,2025-06-30, ,200000.0,2000000.0,1100000.0,5,11,180.34,22.0
2563,     , Sébastien Flochon             ," DM, M (C)                        ", FRA ,30.0, USBCO                     , £120K - £350K   ,925.0, -       , -           , -                            , Fairly Determined   , Level-headed                , Weak          , Very Strong   ,3.0,12.0,4.0,11.0,11.0,12.0,12.0,13.0,1.0,12.0,11.0,6.0,11.0,15.0,10.0,7.0,11.0,8.0,2.0,11.0,10.0,1.0,12.0,8.0,11.0,10.0,12.0,12.0,10.0,3.0,14.0,12.0,10.0,13.0,12.0,3.0,3.0,11.0,12.0,5.0," 5'11""  ", Low         ,2025-06-30, ,120000.0,350000.0,235000.0,5,11,180.34,22.0
2565,     , Pedro Marques                 , ST (C)                           , POR ,25.0, Apol. Limassol            , £600K - £1.3M   ,1700.0, -       , -           , -                            , Fairly Determined   , Media-friendly              , Reasonable    , Very Strong   ,2.0,13.0,1.0,11.0,13.0,14.0,13.0,15.0,3.0,12.0,12.0,8.0,9.0,15.0,12.0,13.0,12.0,13.0,2.0,10.0,11.0,3.0,8.0,9.0,4.0,13.0,13.0,10.0,6.0,3.0,11.0,10.0,5.0,9.0,12.0,1.0,3.0,10.0,13.0,8.0," 5'11""  ", Low         ,2025-06-30, ,600000.0,1300000.0,950000.0,5,11,180.34,22.0
2567,     , Afonso Freitas                , D/WB (RL)                        , LUX ,23.0, VTSC                      , £110K - £1.1M   ,1300.0, -       , -           , -                            , Balanced            , Media-friendly              , Fairly Strong , Very Strong   ,2.0,13.0,1.0,15.0,12.0,12.0,11.0,11.0,2.0,10.0,9.0,11.0,10.0,13.0,10.0,7.0,11.0,10.0,2.0,8.0,10.0,1.0,8.0,10.0,10.0,10.0,13.0,10.0,11.0,1.0,13.0,11.0,11.0,13.0,11.0,3.0,2.0,8.0,13.0,8.0," 5'11""  ", Increased   ,2025-06-30, ,110000.0,1100000.0,605000.0,5,11,180.34,22.0
2569, Wnt , Thomas Ouwejan                ," D/WB (L), DM, M (L)              ", NED ,26.0, Schalke 04                , £110K - £1.1M   ,13250.0, -       , -           , -                            , Balanced            , Media-friendly              , Very Strong   , Weak          ,3.0,12.0,3.0,11.0,12.0,12.0,12.0,11.0,1.0,10.0,12.0,16.0,12.0,12.0,11.0,8.0,12.0,12.0,1.0,7.0,9.0,1.0,10.0,11.0,10.0,14.0,13.0,13.0,10.0,3.0,15.0,11.0,11.0,13.0,12.0,4.0,2.0,13.0,13.0,15.0," 5'11""  ", Low         ,2024-06-30, ,110000.0,1100000.0,605000.0,5,11,180.34,10.0
2571,     , Ricardo Matos                 , ST (C)                           , POR ,23.0, Belenenses                , £200K - £600K   ,975.0, -       , -           , -                            , Fairly Loyal        , Media-friendly              , Reasonable    , Very Strong   ,3.0,12.0,3.0,10.0,11.0,12.0,10.0,12.0,1.0,9.0,10.0,10.0,12.0,12.0,10.0,13.0,11.0,8.0,2.0,10.0,12.0,3.0,7.0,9.0,5.0,10.0,12.0,11.0,9.0,3.0,15.0,13.0,5.0,12.0,12.0,1.0,1.0,11.0,12.0,7.0," 5'11""  ", Low         ,2025-06-30, ,200000.0,600000.0,400000.0,5,11,180.34,22.0
2575,     , Ryan Longman                  , WB/M/AM (RL)                     , ENG ,22.0, Millwall                  , £700K - £6.8M   ,9750.0, -       , -           , -                            , Balanced            , Media-friendly              , Fairly Strong , Very Strong   ,1.0,14.0,3.0,9.0,13.0,11.0,10.0,10.0,1.0,9.0,10.0,11.0,8.0,14.0,13.0,8.0,10.0,11.0,1.0,8.0,9.0,1.0,3.0,13.0,8.0,12.0,13.0,9.0,8.0,3.0,12.0,7.0,7.0,11.0,10.0,3.0,1.0,8.0,16.0,11.0," 5'11""  ", Very High   ,2025-06-30, ,700000.0,6800000.0,3750000.0,5,11,180.34,22.0
